Country,Location,Airbnb_ListingID,Scrape_Date,Lat,Lng,City,LocalizedCity,LocalizedNeighbourhood_Source,LocalizedNeighbourhood_ML,LocalizedNeighbourhood,ListingTitle,Bathrooms,Bedrooms,Beds,MaxGuests,Host_ID,Host_FirstName,Host_isSuperhost,isNewListing,isSuperhost,RoomType,RoomType_Clean,SpaceType,SpaceType_Clean,isHomeOrServicedApartment,PictureCount,ReviewCount,ReviewScore,StarRating,isLimitedAirbnbData,BasicNightPrice_CheckIn,BasicNightPrice_CheckOut,Currency,BasicNightPrice,Taxes,BasicNightPriceString_USD,BasicNightPrice_USD,Taxes_USD,isOverpricedPerBeds_Calc,isOverpricedPerGuest_Calc,Amenities_SelfCheckIn,HostLanguages_Verbose,RecordInserted
Canada,Calgary,937715569409099752,2025-10-29,51.04095,-114.05496,Calgary,Calgary,Beltline,Beltline,Beltline,"5 Min Walk to Saddledome-Amazing Views, Luxury 2BR",2.0,2,2.0,4,518803567,Kendra,False,False,False,Entire home/flat,Entire Home,Entire apartment,Entire apartment,1,37,106,4.78,5.0,False,,,CAD,,,,,,0,0,True,['English'],2025-10-29 18:17:30
Canada,Calgary,32673090,2025-10-29,51.041,-114.07015,Calgary,Calgary,Beltline,Beltline,Beltline,☀️SKYLINE VIEWS☀️ DT Beltline  Pool/Gym/Sauna/Park,1.0,1,1.0,3,84121108,Neil,False,False,False,Entire home/flat,Entire Home,Entire apartment,Entire apartment,1,17,107,4.92,5.0,False,,,CAD,,,,,,0,0,False,[],2025-10-29 18:17:36
Canada,Calgary,21531279,2025-10-29,51.04938,-114.08603,Calgary,Calgary,Downtown Calgary,Downtown Calgary,Downtown Calgary,Luxury DT Whole Apartment with Underground Parking,1.0,1,2.0,2,156492260,Susan,False,False,False,Entire home/flat,Entire Home,Entire apartment,Entire apartment,1,18,203,4.87,5.0,False,,,CAD,,,,,,0,0,True,['English'],2025-10-29 18:17:58
Canada,Calgary,43868185,2025-10-29,51.15801,-113.96024,Calgary,Calgary,Skyview Ranch,Skyview Ranch,Skyview Ranch,"Mid/long term, perfect for contractors and more.",1.0,2,2.0,4,173753167,Eric,True,False,True,Entire home/flat,Entire Home,Entire apartment,Entire apartment,1,9,46,4.89,5.0,False,2025-11-15,2025-11-20,CAD,414.0,181.21,5 nights x $297.04,297.0,130.0,1,0,True,['English' 'French' 'Tagalog'],2025-10-29 18:20:00
Canada,Calgary,1435646668154816977,2025-10-29,50.97939,-114.06274,Calgary,Calgary,Acadia,,Acadia,Sleek Mid Century Modern - Viral Condo,1.5,1,1.0,2,57819244,Lyndon,False,False,False,Entire home/flat,Entire Home,Entire apartment,Entire apartment,1,0,7,5.0,5.0,False,2025-11-01,2025-11-06,CAD,246.73,104.55,5 nights x $177.50,177.0,75.0,0,0,True,[],2025-10-29 18:21:58
Canada,Calgary,1238728662798987025,2025-10-29,50.86792,-113.95509,Calgary,Calgary,Seton,Seton,Seton,Cozy 2Bed Condo in Seton near South Health Campus,1.0,2,1.0,4,87311816,Karen,True,False,True,Entire home/flat,Entire Home,Entire apartment,Entire apartment,1,0,15,4.93,5.0,False,2025-12-01,2025-12-06,CAD,117.09,52.97,5 nights x $84.50,84.0,38.0,0,0,True,[],2025-10-29 18:23:04
Canada,Calgary,53395940,2025-10-29,51.05617,-114.08582,Calgary,Calgary,Sunnyside,Sunnyside,Sunnyside,Lovely 2-bedroom condo with Free Parking,1.0,2,2.0,4,417573151,Frank,False,False,False,Entire home/flat,Entire Home,Entire apartment,Entire apartment,1,10,147,4.78,5.0,False,2025-11-02,2025-11-07,CAD,147.76,64.12,5 nights x $106.93,106.0,46.0,0,0,True,[],2025-10-29 18:23:45
Canada,Calgary,637720508091723506,2025-10-29,51.057918832560965,-114.05500036024489,Calgary,Calgary,Crescent Heights,Crescent Heights,Crescent Heights,Lovely 2 bedroom condo w/ free parking on premises,1.0,2,2.0,4,204209613,De-Ann,False,False,False,Entire home/flat,Entire Home,Entire apartment,Entire apartment,1,10,16,4.63,4.5,False,2025-11-07,2025-11-12,CAD,349.88,153.33,5 nights x $251.21,251.0,110.0,0,0,True,['English'],2025-10-29 18:23:50
Canada,Calgary,1134127777215738779,2025-10-29,51.041,-114.09357,Calgary,Calgary,Beltline,,Beltline,Luxury Studio | Prime Downtown,1.0,1,0.0,2,529481763,Najam,True,False,True,Entire home/flat,Entire Home,Entire apartment,Entire apartment,1,63,82,4.96,5.0,False,2025-11-02,2025-11-07,CAD,140.79,27.88,5 nights x $101.01,101.0,20.0,0,0,True,"['Afrikaans' 'Arabic' 'Azerbaijani' 'Belarusian' 'Bulgarian' 'Bengali'
 'Bosnian' 'Catalan' 'Czech' 'Danish' 'German' 'Greek' 'English' 'Spanish'
 'Estonian' 'Basque' 'Persian' 'Finnish' 'French' 'Irish' 'Galician'
 'Gujarati' 'Hebrew' 'Hindi' 'Croatian' 'Haitian' 'Hungarian' 'Armenian'
 'Indonesian' 'Icelandic' 'Italian' 'Japanese' 'Georgian' 'Central Khmer'
 'Kannada' 'Korean' 'Kirghiz' 'Lao' 'Lithuanian' 'Latvian' 'Macedonian'
 'Malay' 'Maltese' 'Burmese' 'Dutch' 'Norwegian' 'Panjabi' 'Polish'
 'Portuguese' 'Romanian' 'Russian' 'Slovak' 'Slovenian' 'Albanian'
 'Serbian' 'Swedish' 'Swahili' 'Tamil' 'Telugu' 'Thai' 'Tagalog' 'Turkish'
 'Ukrainian' 'Urdu' 'Vietnamese' 'Xhosa' 'Chinese' 'Zulu']",2025-10-29 18:24:02
Canada,Calgary,761824058550759676,2025-10-29,51.03979488647396,-114.06449731439352,Calgary,Calgary,Beltline,Beltline,Beltline,Welcome to the Red Room in trendy Victoria Park,2.0,2,1.0,6,10174701,Soraya Maria,False,False,False,Entire home/flat,Entire Home,Entire apartment,Entire apartment,1,1,27,4.85,5.0,False,2026-07-06,2026-07-11,CAD,1198.8,525.52,5 nights x $860.57,860.0,377.0,1,1,True,['English' 'French' 'Spanish'],2025-10-29 18:24:44
